iteration,timesteps,winrate,games,games_won,avg_reward
8,190000,0.5564375297666296,6299,3505,3.0286598
8,200000,0.5558406278297615,6626,3683,3.0582943
8,210000,0.555619513599079,6949,3861,3.10711
8,220000,0.5557998900494777,7276,4044,3.1388729
8,230000,0.5571484940155201,7603,4236,3.1376746
8,240000,0.558303886925795,7924,4424,3.1692796
8,250000,0.5586808923375364,8248,4608,3.1957076
8,260000,0.5580065359477124,8568,4781,3.2009687
8,270000,0.5585788171801215,8894,4968,3.2048352
8,280000,0.5567368192666522,9218,5132,3.221688
8,290000,0.5567777079404986,9546,5315,3.2319853
8,300000,0.556815880089123,9874,5498,3.2611163
8,310000,0.5573095401509952,10199,5684,3.2758188
8,320000,0.5574035354495344,10522,5865,3.2881758
8,330000,0.5580023956509721,10853,6056,3.3155913
8,340000,0.5579418344519016,11175,6235,3.3250046
8,350000,0.5590640222686152,11496,6427,3.3491082
8,360000,0.5608868579165609,11817,6628,3.3600457
8,370000,0.5614858743101886,12141,6817,3.3698354
8,380000,0.561386615310544,12462,6996,3.3678036
8,390000,0.5620552123250177,12787,7187,3.3734474
8,400000,0.5611466910643489,13116,7360,3.367648
8,410000,0.561788557399003,13441,7551,3.383549
8,420000,0.5621005229517723,13768,7739,3.3921115
8,430000,0.563196366475055,14091,7936,3.428034
8,440000,0.5619318576087711,14411,8098,3.4191327
8,450000,0.5616940409936202,14734,8276,3.4193647
8,460000,0.5609432082364663,15055,8445,3.423356
8,470000,0.560923276983095,15380,8627,3.4384682
8,480000,0.561839256145714,15702,8822,3.459474
8,490000,0.5609756097560976,16031,8993,3.4543045
8,500000,0.5604745016509722,16354,9166,3.4569008
8,510000,0.5608249895077643,16679,9354,3.4694448
8,520000,0.5606729015940238,17001,9532,3.4813588
8,530000,0.5603463203463204,17325,9708,3.4877279
8,540000,0.5603966005665723,17650,9891,3.495433
8,550000,0.560518411391701,17978,10077,3.5029929
8,560000,0.5603759152005245,18302,10256,3.5103383
8,570000,0.5602749288514203,18623,10434,3.5192084
8,580000,0.5606228556347321,18945,10621,3.5278926
8,590000,0.560278167003996,19269,10796,3.5431597
8,600000,0.5614411104307001,19596,11002,3.5543354
8,610000,0.5618693840670649,19921,11193,3.561245
8,620000,0.5613792422071827,20243,11364,3.5645933
8,630000,0.5616644791210929,20571,11554,3.5767622
8,640000,0.5621381059482222,20897,11747,3.586342
8,650000,0.5625618549413262,21219,11937,3.5930154
8,660000,0.5619777158774373,21540,12105,3.5967731
8,670000,0.5614821591948765,21860,12274,3.5997572
8,680000,0.562122441619331,22182,12469,3.6101844
8,690000,0.5621167688616369,22506,12651,3.6204488
8,700000,0.5625629571234616,22833,12845,3.632196
8,710000,0.5621869062014164,23156,13018,3.6378448
8,720000,0.562558555489311,23482,13210,3.6447167
8,730000,0.5624816230520435,23807,13391,3.6533647
8,740000,0.5629687953255149,24131,13585,3.666469
8,750000,0.5628884527314361,24456,13766,3.666097
8,760000,0.5637434924734654,24779,13969,3.6831703
8,770000,0.5638369915946301,25103,14154,3.6882837
8,780000,0.5639946507237256,25424,14339,3.692247
8,790000,0.5640458163463405,25755,14527,3.7014248
8,800000,0.5636238162788023,26083,14701,3.6992712
8,810000,0.564395804142841,26407,14904,3.7061498
8,820000,0.5644219977553311,26730,15087,3.7139735
8,830000,0.5641309972647298,27054,15262,3.71025
8,840000,0.5643170197224251,27380,15451,3.7125971
8,850000,0.5645958921416453,27703,15641,3.7130206
8,860000,0.5643578489098241,28023,15815,3.7110624
8,870000,0.5648216742512435,28347,16011,3.7192655
8,880000,0.5650612074076657,28673,16202,3.7198415
8,890000,0.5652113938892337,28998,16390,3.7263749
8,900000,0.565368614880993,29326,16580,3.7295344
8,910000,0.5652760446527941,29651,16761,3.7346137
8,920000,0.5651376146788991,29975,16940,3.7445617
8,930000,0.5648126753589702,30295,17111,3.7444377
8,940000,0.5651861528412802,30620,17306,3.7543418
8,950000,0.5652553329023917,30940,17489,3.7644718
8,960000,0.56535226582238,31269,17678,3.7641003
8,970000,0.565804879592418,31601,17880,3.7683764
8,980000,0.5655850663993987,31928,18058,3.772606
8,990000,0.5656528074907761,32253,18244,3.776203
8,1000000,0.565972861791613,32574,18436,3.7802932
